range,score
20,0.65
30,0.7666666666666666
40,0.775
50,0.82
60,0.8166666666666668
70,0.7142857142857143
80,0.7625
90,0.7777777777777777
100,0.8300000000000001
110,0.8454545454545455
120,0.7583333333333334
130,0.8
140,0.8357142857142857
150,0.8400000000000001
160,0.85
170,0.8647058823529411
180,0.8666666666666668
190,0.8263157894736842
200,0.8300000000000001
210,0.8428571428571429
220,0.8272727272727274
230,0.8695652173913043
240,0.8291666666666666
250,0.8400000000000001
260,0.8384615384615385
270,0.8518518518518517
280,0.875
290,0.8310344827586207
300,0.8266666666666665
310,0.8709677419354838
320,0.828125
330,0.8484848484848484
340,0.8705882352941178
350,0.8257142857142856
360,0.8305555555555555
370,0.8594594594594595
380,0.8473684210526315
390,0.8564102564102564
400,0.86
410,0.851219512195122
420,0.8452380952380952
430,0.8581395348837209
440,0.8568181818181818
450,0.8422222222222222
460,0.85
